Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Phel_clc_contig_10001,136.27718425946,1.49886855266789,0.550947966456816,2.72052651778936,0.00651780439581695,0.0350101864080016,,,,,,,,,,,,,,
Phel_clc_contig_10010,8.73784349604224,2.43426494953234,0.717338850139719,3.39346593183711,0.000690141423521562,0.00610587057360923,,,,,,,,,,,,,,
Phel_clc_contig_10013,188.603521302622,-1.94923068685006,0.463271107915175,-4.20753777549832,2.58168256856775E-05,0.00041485396609123,,,,,,,,,,,,,,
Phel_clc_contig_10045,50.485024106335,2.87706412205861,0.695003049883772,4.13964244119468,3.47847563039607E-05,0.000526018158180456,,,,,,,,,,,,,,
Phel_clc_contig_1005,3408.98435663456,-1.66691198866687,0.378947946534594,-4.39878881495589,1.08856689786144E-05,0.000199362344222153,,,,,,,,,,,,,,
Phel_clc_contig_10050,276.941589423215,-1.61560402677235,0.323282993601818,-4.9974915437781,5.80808848482353E-07,1.60431884071189E-05,Phel_clc_contig_10050,sp,Q5R7A2,ALG1_PONAB,52.27,440,196,6,2351,1056,26,459,2E-150,457
Phel_clc_contig_1006,77.8447124150533,-2.01146173192642,0.468218416201358,-4.29599020953798,1.73915258259802E-05,0.000298432523132762,,,,,,,,,,,,,,
Phel_clc_contig_10064,147.578457909919,1.81093710357749,0.683578354090462,2.64920194260252,0.00806821051110654,0.041310905437205,,,,,,,,,,,,,,
Phel_clc_contig_10065,28.5076393455268,2.27188575134493,0.585911374358637,3.87752457243526,0.00010552467251757,0.00131744894528401,,,,,,,,,,,,,,
Phel_clc_contig_10074,13.7264378211451,1.57931966078503,0.609122521040588,2.59277831016167,0.0095204116954605,0.0468152722934354,Phel_clc_contig_10074,sp,P22232,FBRL_XENLA,87.71,236,29,0,26,733,87,322,1E-152,436
Phel_clc_contig_10088,26.7989704251446,-3.25674655770292,0.692625408705715,-4.70203159856449,2.57585624439683E-06,5.82721740297681E-05,,,,,,,,,,,,,,
Phel_clc_contig_10092,298.675210517549,-1.70141928905592,0.385722475917709,-4.41099338328136,1.02897462825799E-05,0.000190112908009943,,,,,,,,,,,,,,
Phel_clc_contig_10095,25.9422073423121,-2.50486186380913,0.624922927885294,-4.00827326384944,6.11643229587145E-05,0.000841769523643069,,,,,,,,,,,,,,
Phel_clc_contig_10096,134.131807466029,1.79101417554438,0.611766284695864,2.92761176996665,0.00341576264177986,0.0212449829061082,Phel_clc_contig_10096,sp,Q5RC04,RGF1B_PONAB,62.41,415,154,2,2449,1208,52,465,0,557
Phel_clc_contig_10098,94.5750974553037,-1.11645601116614,0.411344442681328,-2.7141633514934,0.0066443394082973,0.0355579812507144,,,,,,,,,,,,,,
Phel_clc_contig_10104,566.886917149859,-1.93176352357048,0.515652919509812,-3.74624762215415,0.000179499413713921,0.00203213196752374,,,,,,,,,,,,,,
Phel_clc_contig_10108,125.067600008944,1.41982246361069,0.552053017552489,2.57189512323551,0.0101143526117939,0.0490275274516588,Phel_clc_contig_10108,sp,P97433,ARG28_MOUSE,35.88,655,379,14,5851,3941,618,1249,1E-91,335
Phel_clc_contig_10111,79.656387005692,-1.26815335931977,0.412779987882324,-3.07222587467419,0.00212468883549639,0.0146777898338445,Phel_clc_contig_10111,sp,O81884,GALDH_ARATH,43.52,301,152,7,731,1609,22,312,2E-72,250
